file	outcome	nodes	problems	tables	lists	links	text	roundtrip
htmlparser-benchmark/005055fd7e2625aba5e8d2d370ea4914a152fe50d16620f896cdf4b1a68ba741.html	ok	2261	3	0/0	29/138	186	7344/51bc1236d85e	doctype
htmlparser-benchmark/0227809b88a4c7a53db0c418d1a6182343c0b22b9122148baaa93d0a58856931.html	ok	1974	2	1/1	22/247	285	10295/e100d217de9f	TRUE
htmlparser-benchmark/0339f4fe0403110a66c7db27cb4b3cf4d3e995dfb84931aeb831da7186d3932b.html	ok	1696	7	14/35	8/58	182	9054/485e0a9b9555	FALSE
htmlparser-benchmark/039c4b966d1f2a0c589ac0aad211fe65500ad1cb58c7f45b34251db7056803ec.html	ok	2323	4	2/2	36/216	251	9261/39bbed510ff6	doctype
htmlparser-benchmark/0475e5eeadaaca857eea3f36d0eda01937fe672d48be7f98ba6bc7f25ecd63d0.html	ok	1321	4	1/6	18/74	100	5082/5fd277dba91d	doctype
htmlparser-benchmark/06ed0a833361190536a4f61888354e07dccaa501bd9a1c0f1c545533bde1650b.html	ok	1922	6	0/0	32/109	157	5953/59c7ae18b888	doctype
htmlparser-benchmark/07137ba3de7ecc2a928bfc1c693752b3e43d300e31f7dc05d99b583f5d46f5d9.html	ok	1671	1	1/1	13/80	142	5383/a92025f9737e	doctype
htmlparser-benchmark/078cdb456d1beb698aeed86e0f2161e442e9431c4580295f1ba4ece22741068c.html	ok	2962	11	0/0	33/150	212	9915/384fbbf93e89	doctype
htmlparser-benchmark/0873e7508224014b9df7e0c599b2eb33ebb733af7bc23fb11114ad5cf0e1ecfd.html	ok	2353	2	0/0	38/230	276	8803/0890a7f6b842	TRUE
htmlparser-benchmark/090638153c72af750a39fb8dedebfddfa52f00b73ee034de4444f105d8daa80d.html	ok	1598	11	0/0	19/95	162	13340/4f5828c0aef7	doctype
htmlparser-benchmark/0908784eff9bcf0e273284ed28d3bf75f636cb2886aa264d5fc068972cd9e5fb.html	ok	1725	2	1/2	19/103	214	7397/d760ea579e3b	doctype
htmlparser-benchmark/09198e90b6a14acfef0d4044606b8fd5801648f98763bf967f181aabaf59804d.html	ok	2330	10	2/2	36/218	259	7976/f1ec146cfccf	doctype
htmlparser-benchmark/0a8c510c3691d8e68ccc749559680257a382fe792a3d4d8531fb285cd74c3492.html	ok	1900	12	0/0	18/108	154	10519/89e1a50ef415	TRUE
